DOI,Title,Author,Publication Title,Publication Date,URL,Keywords,Abstract,Publisher,Field of Study ,Is Data Fusion Paper,Data Fusion Classification Reason
,,,,,,,,,,,
10.1016/j.engappai.2023.106846,A novel Aczel-Alsina triangular norm-based group decision-making approach under dual hesitant q-rung orthopair fuzzy context for parcel lockers' location selection,"Gayen, Souvik and Biswas, Animesh and Sarkar, Arun and Senapati, Tapan and Moslem, Sarbast",{ENGINEERING} {APPLICATIONS} {OF} {ARTIFICIAL} {IN}_{LIGENCE},2023,https://www.sciencedirect.com/science/article/pii/S0952197623010308,"Parcel locker, Location selection, Dual hesitant q-rung orthopair fuzzy set, Aczel-Alsina_ t-conorms and t-norms, Hybrid aggregation operators, Group decision-making","For complex last mile problems, the parcel lockers play an important role in urban areas. So, selecting a suitable location is very much crucial to provide optimal service and better logistical performance. From that viewpoint, a multicriteria group decision making method is developed in this article using dual hesitant q-rung orthopair fuzzy ({DHq}-{ROF}) set which is more effective than existing variations of fuzzy sets. The Aczel-Alsina ({AA}) class of t-conorms and t-norms ({AAt}-{CNs} \& t-Ns) emerged as an important class of union and intersection operations due to its greater flexibility in the information fusion process. To take advantage of the benefits of {AAt}-{CNs} \& t-Ns and hybrid aggregation operators in {DHq}-{ROF} environments, several fundamental operations based on {AAt}-{CNs} \& t-Ns are first defined. Following the introduction of these stated operations, a series of aggregation operators, viz., {DHq}-{ROF} {AA} weighted averaging, ordered weighted averaging, hybrid averaging and their geometric versions with {DHq}-{ROF} information, has been proposed. Based on these operators, a creative approach to handle multi-attribute group decision-making problems has been framed. The parcel lockers' location selection problem is estimated to validate the created strategy and show its applicability and efficacy. The achieved results establish that the post office is the best location for locating parcel lockers.",Elsevier,"Computer Science, Urban Analysis",Yes,"Uses four different criterias. For example, traffic impact, security, reliability, and accessability. "
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
10.1016/j.compag.2023.108186,YOLACTFusion: An instance segmentation method for RGB-NIR multimodal image fusion based on an attention mechanism,"Liu, Cheng and Feng, Qingchun and Sun, Yuhuan and Li, Yajun and Ru, Mengfei and Xu, Lijia",{COMPUTERS} {AND} {ELECTRONICS} {IN} {AGRICULTURE},2023,https://www.sciencedirect.com/science/article/pii/S0168169923005744,"Multimodal fusion, Attention mechanism, YOLACT, Tomato main-stem, Multimodal loss function","The tomato plant's main-stem is a feasible lead for robotic searching the grows discretely-growing targets of harvesting, pruning or pollinating. Owing to the highlighted reflection characteristics of the main-stem in the near-infrared ({NIR}) waveband, this study proposes a multimodal hierarchical fusion method ({YOLACTFusion}) based on the attention mechanism, to achieve an instance segmentation of the main-stem from similar-colored differentiation (i.e., green leaf and green fruit) in robotic vision systems. The model inputs {RGB} images and 900-1100 nm {NIR} images into two {ResNet}50 backbone networks and uses a parallel attention mechanism to fuse feature maps of various scales together into the head network, to improve the segmentation performance of the main-stem of {RGB} images. The loss function for the multimodal image weights the original loss on the {RGB} image and the position offset loss and classification loss on the {NIR} image. Furthermore, the local depthwise separable convolution is used for the backbone network, and Conv-{BN} layers are merged to reduce the computational complexity. The results show that the precision and recall of {YOLACTFusion} of the main-stem detection, respectively reached 93.90 \% and 62.60 \%; and the precision and recall of instance segmentation reached 95.12 \% and 63.41 \%, respectively. Compared to {YOLACT}, the mean average precision ({mAP}) of {YOLACTFusion} is increased from 39.20 \% to 46.29 \%, the model size is reduced from 199.03 {MB} to 165.52 {MB}, while the image processing efficiency remains similar. The overall results show that the multimodal instance segmentation method proposed in this study significantly improves the detection and segmentation of tomato main-stems under a similar-colored background, which would be a potential method for improving agricultural robot's visual perception.",Elsevier,"Photography, Data Fusion",Yes,"The focus is combining data from multiple cameras eg. RGB, NIR. "
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
